MTAcorizal;510010;5100102;MT;Acorizal;Região Centro-Oeste;5516;Pequeno I;;
MTÁgua Boa;510020;5100201;MT;Água Boa;Região Centro-Oeste;20856;Pequeno II;;
MTAlta Floresta;510025;5100250;MT;Alta Floresta;Região Centro-Oeste;49164;Pequeno II;;
MTAlto Araguaia;510030;5100300;MT;Alto Araguaia;Região Centro-Oeste;15644;Pequeno I;;
MTAlto Boa Vista;510035;5100359;MT;Alto Boa Vista;Região Centro-Oeste;5247;Pequeno I;;
MTAlto Garças;510040;5100409;MT;Alto Garças;Região Centro-Oeste;10350;Pequeno I;;
MTAlto Paraguai;510050;5100508;MT;Alto Paraguai;Região Centro-Oeste;10066;Pequeno I;;
MTAlto Taquari;510060;5100607;MT;Alto Taquari;Região Centro-Oeste;8072;Pequeno I;;
MTApiacás;510080;5100805;MT;Apiacás;Região Centro-Oeste;8567;Pequeno I;;
MTAraguaiana;510100;5101001;MT;Araguaiana;Região Centro-Oeste;3197;Pequeno I;;
MTAraguainha;510120;5101209;MT;Araguainha;Região Centro-Oeste;1096;Pequeno I;;
MTAraputanga;510125;5101258;MT;Araputanga;Região Centro-Oeste;15342;Pequeno I;;
MTArenápolis;510130;5101308;MT;Arenápolis;Região Centro-Oeste;10316;Pequeno I;;
MTAripuanã;510140;5101407;MT;Aripuanã;Região Centro-Oeste;18656;Pequeno I;;
MTBarão de Melgaço;510160;5101605;MT;Barão de Melgaço;Região Centro-Oeste;7591;Pequeno I;;
MTBarra do Bugres;510170;5101704;MT;Barra do Bugres;Região Centro-Oeste;31793;Pequeno II;;
MTBarra do Garças;510180;5101803;MT;Barra do Garças;Região Centro-Oeste;56560;Médio;;
MTBom Jesus do Araguaia;510185;5101852;MT;Bom Jesus do Araguaia;Região Centro-Oeste;5314;Pequeno I;;
MTBrasnorte;510190;5101902;MT;Brasnorte;Região Centro-Oeste;15357;Pequeno I;;
MTCáceres;510250;5102504;MT;Cáceres;Região Centro-Oeste;87942;Médio;;
MTCampinápolis;510260;5102603;MT;Campinápolis;Região Centro-Oeste;14305;Pequeno I;;
MTCampo Novo do Parecis;510263;5102637;MT;Campo Novo do Parecis;Região Centro-Oeste;27577;Pequeno II;;
MTCampo Verde;510267;5102678;MT;Campo Verde;Região Centro-Oeste;31589;Pequeno II;;
MTCampos de Júlio;510268;5102686;MT;Campos de Júlio;Região Centro-Oeste;5154;Pequeno I;;
MTCanabrava do Norte;510269;5102694;MT;Canabrava do Norte;Região Centro-Oeste;4786;Pequeno I;;
MTCanarana;510270;5102702;MT;Canarana;Região Centro-Oeste;18754;Pequeno I;;
MTCarlinda;510279;5102793;MT;Carlinda;Região Centro-Oeste;10990;Pequeno I;;
MTCastanheira;510285;5102850;MT;Castanheira;Região Centro-Oeste;8231;Pequeno I;;
MTChapada Dos Guimarães;510300;5103007;MT;Chapada Dos Guimarães;Região Centro-Oeste;17821;Pequeno I;;
MTCláudia;510305;5103056;MT;Cláudia;Região Centro-Oeste;11028;Pequeno I;;
MTCocalinho;510310;5103106;MT;Cocalinho;Região Centro-Oeste;5490;Pequeno I;;
MTColíder;510320;5103205;MT;Colíder;Região Centro-Oeste;30766;Pequeno II;;
MTColniza;510325;5103254;MT;Colniza;Região Centro-Oeste;26381;Pequeno II;;
MTComodoro;510330;5103304;MT;Comodoro;Região Centro-Oeste;18178;Pequeno I;;
MTConfresa;510335;5103353;MT;Confresa;Região Centro-Oeste;25124;Pequeno II;;
MTConquista D'oeste;510336;5103361;MT;Conquista D´oeste;Região Centro-Oeste;3385;Pequeno I;;
MTCotriguaçu;510337;5103379;MT;Cotriguaçu;Região Centro-Oeste;14983;Pequeno I;;
MTCuiabá;510340;5103403;MT;Cuiabá;Região Centro-Oeste;551098;Grande;Capital;
MTCurvelândia;510343;5103437;MT;Curvelândia;Região Centro-Oeste;4866;Pequeno I;;
MTDenise;510345;5103452;MT;Denise;Região Centro-Oeste;8523;Pequeno I;;
MTDiamantino;510350;5103502;MT;Diamantino;Região Centro-Oeste;20341;Pequeno II;;
MTDom Aquino;510360;5103601;MT;Dom Aquino;Região Centro-Oeste;8171;Pequeno I;;
MTFeliz Natal;510370;5103700;MT;Feliz Natal;Região Centro-Oeste;10933;Pequeno I;;
MTFigueirópolis D'oeste;510380;5103809;MT;Figueirópolis D´oeste;Região Centro-Oeste;3796;Pequeno I;;
MTGaúcha do Norte;510385;5103858;MT;Gaúcha do Norte;Região Centro-Oeste;6293;Pequeno I;;
MTGeneral Carneiro;510390;5103908;MT;General Carneiro;Região Centro-Oeste;5027;Pequeno I;;
MTGlória D'oeste;510395;5103957;MT;Glória D´oeste;Região Centro-Oeste;3135;Pequeno I;;
MTGuarantã do Norte;510410;5104104;MT;Guarantã do Norte;Região Centro-Oeste;32216;Pequeno II;;
MTGuiratinga;510420;5104203;MT;Guiratinga;Região Centro-Oeste;13934;Pequeno I;;
MTIndiavaí;510450;5104500;MT;Indiavaí;Região Centro-Oeste;2397;Pequeno I;;
MTIpiranga do Norte;510452;5104526;MT;Ipiranga do Norte;Região Centro-Oeste;5123;Pequeno I;;
MTItanhangá;510454;5104542;MT;Itanhangá;Região Centro-Oeste;5276;Pequeno I;;
MTItaúba;510455;5104559;MT;Itaúba;Região Centro-Oeste;4575;Pequeno I;;
MTItiquira;510460;5104609;MT;Itiquira;Região Centro-Oeste;11478;Pequeno I;;
MTJaciara;510480;5104807;MT;Jaciara;Região Centro-Oeste;25647;Pequeno II;;
MTJangada;510490;5104906;MT;Jangada;Região Centro-Oeste;7696;Pequeno I;;
MTJauru;510500;5105002;MT;Jauru;Região Centro-Oeste;10455;Pequeno I;;
MTJuara;510510;5105101;MT;Juara;Região Centro-Oeste;32791;Pequeno II;;
MTJuína;510515;5105150;MT;Juína;Região Centro-Oeste;39255;Pequeno II;;
MTJuruena;510517;5105176;MT;Juruena;Região Centro-Oeste;11201;Pequeno I;;
MTJuscimeira;510520;5105200;MT;Juscimeira;Região Centro-Oeste;11430;Pequeno I;;
MTLambari D'oeste;510523;5105234;MT;Lambari D´oeste;Região Centro-Oeste;5431;Pequeno I;;
MTLucas do Rio Verde;510525;5105259;MT;Lucas do Rio Verde;Região Centro-Oeste;45556;Pequeno II;;
MTLuciára;510530;5105309;MT;Luciára;Região Centro-Oeste;2224;Pequeno I;;
MTVila Bela da Santíssima Trindade;510550;5105507;MT;Vila Bela da Santíssima Trindade;Região Centro-Oeste;14493;Pequeno I;;
MTMarcelândia;510558;5105580;MT;Marcelândia;Região Centro-Oeste;12006;Pequeno I;;
MTMatupá;510560;5105606;MT;Matupá;Região Centro-Oeste;14174;Pequeno I;;
MTMirassol D'oeste;510562;5105622;MT;Mirassol D´oeste;Região Centro-Oeste;25299;Pequeno II;;
MTNobres;510590;5105903;MT;Nobres;Região Centro-Oeste;15002;Pequeno I;;
MTNortelândia;510600;5106000;MT;Nortelândia;Região Centro-Oeste;6436;Pequeno I;;
MTNossa Senhora do Livramento;510610;5106109;MT;Nossa Senhora do Livramento;Região Centro-Oeste;11609;Pequeno I;;
MTNova Bandeirantes;510615;5106158;MT;Nova Bandeirantes;Região Centro-Oeste;11643;Pequeno I;;
MTNova Nazaré;510617;5106174;MT;Nova Nazaré;Região Centro-Oeste;3029;Pequeno I;;
MTNova Lacerda;510618;5106182;MT;Nova Lacerda;Região Centro-Oeste;5436;Pequeno I;;
MTNova Santa Helena;510619;5106190;MT;Nova Santa Helena;Região Centro-Oeste;3468;Pequeno I;;
MTNova Brasilândia;510620;5106208;MT;Nova Brasilândia;Região Centro-Oeste;4587;Pequeno I;;
MTNova Canaã do Norte;510621;5106216;MT;Nova Canaã do Norte;Região Centro-Oeste;12127;Pequeno I;;
MTNova Mutum;510622;5106224;MT;Nova Mutum;Região Centro-Oeste;31649;Pequeno II;;
MTNova Olímpia;510623;5106232;MT;Nova Olímpia;Região Centro-Oeste;17515;Pequeno I;;
MTNova Ubiratã;510624;5106240;MT;Nova Ubiratã;Região Centro-Oeste;9218;Pequeno I;;
MTNova Xavantina;510625;5106257;MT;Nova Xavantina;Região Centro-Oeste;19643;Pequeno I;;
MTNovo Mundo;510626;5106265;MT;Novo Mundo;Região Centro-Oeste;7332;Pequeno I;;
MTNovo Horizonte do Norte;510627;5106273;MT;Novo Horizonte do Norte;Região Centro-Oeste;3749;Pequeno I;;
MTNovo São Joaquim;510628;5106281;MT;Novo São Joaquim;Região Centro-Oeste;6042;Pequeno I;;
MTParanaíta;510629;5106299;MT;Paranaíta;Região Centro-Oeste;10684;Pequeno I;;
MTParanatinga;510630;5106307;MT;Paranatinga;Região Centro-Oeste;19290;Pequeno I;;
MTNovo Santo Antônio;510631;5106315;MT;Novo Santo Antônio;Região Centro-Oeste;2005;Pequeno I;;
MTPedra Preta;510637;5106372;MT;Pedra Preta;Região Centro-Oeste;15755;Pequeno I;;
MTPeixoto de Azevedo;510642;5106422;MT;Peixoto de Azevedo;Região Centro-Oeste;30812;Pequeno II;;
MTPlanalto da Serra;510645;5106455;MT;Planalto da Serra;Região Centro-Oeste;2726;Pequeno I;;
MTPoconé;510650;5106505;MT;Poconé;Região Centro-Oeste;31779;Pequeno II;;
MTPontal do Araguaia;510665;5106653;MT;Pontal do Araguaia;Região Centro-Oeste;5395;Pequeno I;;
MTPonte Branca;510670;5106703;MT;Ponte Branca;Região Centro-Oeste;1768;Pequeno I;;
MTPontes e Lacerda;510675;5106752;MT;Pontes e Lacerda;Região Centro-Oeste;41408;Pequeno II;;
MTPorto Alegre do Norte;510677;5106778;MT;Porto Alegre do Norte;Região Centro-Oeste;10748;Pequeno I;;
MTPorto Dos Gaúchos;510680;5106802;MT;Porto Dos Gaúchos;Região Centro-Oeste;5449;Pequeno I;;
MTPorto Esperidião;510682;5106828;MT;Porto Esperidião;Região Centro-Oeste;11031;Pequeno I;;
MTPorto Estrela;510685;5106851;MT;Porto Estrela;Região Centro-Oeste;3649;Pequeno I;;
MTPoxoréo;510700;5107008;MT;Poxoréo;Região Centro-Oeste;17599;Pequeno I;;
MTPrimavera do Leste;510704;5107040;MT;Primavera do Leste;Região Centro-Oeste;52066;Médio;;
MTQuerência;510706;5107065;MT;Querência;Região Centro-Oeste;13033;Pequeno I;;
MTSão José Dos Quatro Marcos;510710;5107107;MT;São José Dos Quatro Marcos;Região Centro-Oeste;18998;Pequeno I;;
MTReserva do Cabaçal;510715;5107156;MT;Reserva do Cabaçal;Região Centro-Oeste;2572;Pequeno I;;
MTRibeirão Cascalheira;510718;5107180;MT;Ribeirão Cascalheira;Região Centro-Oeste;8881;Pequeno I;;
MTRibeirãozinho;510719;5107198;MT;Ribeirãozinho;Região Centro-Oeste;2199;Pequeno I;;
MTRio Branco;510720;5107206;MT;Rio Branco;Região Centro-Oeste;5070;Pequeno I;;
MTSanta Carmem;510724;5107248;MT;Santa Carmem;Região Centro-Oeste;4085;Pequeno I;;
MTSanto Afonso;510726;5107263;MT;Santo Afonso;Região Centro-Oeste;2991;Pequeno I;;
MTSão José do Povo;510729;5107297;MT;São José do Povo;Região Centro-Oeste;3592;Pequeno I;;
MTSão José do Rio Claro;510730;5107305;MT;São José do Rio Claro;Região Centro-Oeste;17124;Pequeno I;;
MTSão José do Xingu;510735;5107354;MT;São José do Xingu;Região Centro-Oeste;5240;Pequeno I;;
MTSão Pedro da Cipa;510740;5107404;MT;São Pedro da Cipa;Região Centro-Oeste;4158;Pequeno I;;
MTRondolândia;510757;5107578;MT;Rondolândia;Região Centro-Oeste;3604;Pequeno I;;
MTRondonópolis;510760;5107602;MT;Rondonópolis;Região Centro-Oeste;195476;Grande;;
MTRosário Oeste;510770;5107701;MT;Rosário Oeste;Região Centro-Oeste;17679;Pequeno I;;
MTSanta Cruz do Xingu;510774;5107743;MT;Santa Cruz do Xingu;Região Centro-Oeste;1900;Pequeno I;;
MTSalto do Céu;510775;5107750;MT;Salto do Céu;Região Centro-Oeste;3908;Pequeno I;;
MTSanta Rita do Trivelato;510776;5107768;MT;Santa Rita do Trivelato;Região Centro-Oeste;2491;Pequeno I;;
MTSanta Terezinha;510777;5107776;MT;Santa Terezinha;Região Centro-Oeste;7397;Pequeno I;;
MTSanto Antônio do Leste;510779;5107792;MT;Santo Antônio do Leste;Região Centro-Oeste;3754;Pequeno I;;
MTSanto Antônio do Leverger;510780;5107800;MT;Santo Antônio do Leverger;Região Centro-Oeste;18463;Pequeno I;;
MTSão Félix do Araguaia;510785;5107859;MT;São Félix do Araguaia;Região Centro-Oeste;10625;Pequeno I;;
MTSapezal;510787;5107875;MT;Sapezal;Região Centro-Oeste;18094;Pequeno I;;
MTSerra Nova Dourada;510788;5107883;MT;Serra Nova Dourada;Região Centro-Oeste;1365;Pequeno I;;
MTSinop;510790;5107909;MT;Sinop;Região Centro-Oeste;113099;Grande;;
MTSorriso;510792;5107925;MT;Sorriso;Região Centro-Oeste;66521;Médio;;
MTTabaporã;510794;5107941;MT;Tabaporã;Região Centro-Oeste;9932;Pequeno I;;
MTTangará da Serra;510795;5107958;MT;Tangará da Serra;Região Centro-Oeste;83431;Médio;;
MTTapurah;510800;5108006;MT;Tapurah;Região Centro-Oeste;10392;Pequeno I;;
MTTerra Nova do Norte;510805;5108055;MT;Terra Nova do Norte;Região Centro-Oeste;11291;Pequeno I;;
MTTesouro;510810;5108105;MT;Tesouro;Região Centro-Oeste;3418;Pequeno I;;
MTTorixoréu;510820;5108204;MT;Torixoréu;Região Centro-Oeste;4071;Pequeno I;;
MTUnião do Sul;510830;5108303;MT;União do Sul;Região Centro-Oeste;3760;Pequeno I;;
MTVale de São Domingos;510835;5108352;MT;Vale de São Domingos;Região Centro-Oeste;3052;Pequeno I;;
MTVárzea Grande;510840;5108402;MT;Várzea Grande;Região Centro-Oeste;252596;Grande;;
MTVera;510850;5108501;MT;Vera;Região Centro-Oeste;10235;Pequeno I;;
MTVila Rica;510860;5108600;MT;Vila Rica;Região Centro-Oeste;21382;Pequeno II;;
MTNova Guarita;510880;5108808;MT;Nova Guarita;Região Centro-Oeste;4932;Pequeno I;;
MTNova Marilândia;510885;5108857;MT;Nova Marilândia;Região Centro-Oeste;2951;Pequeno I;;
MTNova Maringá;510890;5108907;MT;Nova Maringá;Região Centro-Oeste;6590;Pequeno I;;
MTNova Monte Verde;510895;5108956;MT;Nova Monte Verde;Região Centro-Oeste;8093;Pequeno I;;